Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"GDFR (feat. Sage the Gemini & Lookas)","Flo Rida","My House","My playlist :)","Playlist","USAT21404117","26rdOwwjC2UnweK3xeS58u"
"Sugar","Maroon 5","V","My playlist :)","Playlist","USUM71410340","2iuZJX9X9P0GKaE93xcPjk"
"Just the Way You Are","Bruno Mars","Doo-Wops & Hooligans","My playlist :)","Playlist","USAT21001269","7BqBn9nzAq8spo5e7cZ0dJ"
"Sucker","Jonas Brothers","Happiness Begins","My playlist :)","Playlist","USUG11900515","22vgEDb5hykfaTwLuskFGD"
"Bad Liar","Imagine Dragons","Origins (Deluxe)","My playlist :)","Playlist","USUM71816161","2RSHsoi04658QL5xgQVov3"
"The Middle","Zedd","The Middle","My playlist :)","Playlist","USUM71800463","09IStsImFySgyp0pIQdqAc"
"Life is a Highway","Rascal Flatts","Me And My Gang","My playlist :)","Playlist","USL2S0620350","2Fs18NaCDuluPG1DHGw1XG"
"A Million Dreams","Ziv Zaifman","The Greatest Showman (Original Motion Picture Soundtrack)","My playlist :)","Playlist","USAT21704617","0RoA7ObU6phWpqhlC9zH4Z"
"From Now On","Hugh Jackman","The Greatest Showman (Original Motion Picture Soundtrack)","My playlist :)","Playlist","USAT21704626","3IkWmgGsXbsafrunwPojXO"
"Youngblood","5 Seconds of Summer","Youngblood (Deluxe)","My playlist :)","Playlist","GBUM71800366","2iUXsYOEPhVqEBwsqP70rE"
"Sweet but Psycho","Ava Max","Heaven & Hell","My playlist :)","Playlist","USAT21802011","7DnAm9FOTWE3cUvso43HhI"
"Good Old Days (feat. Kesha)","Macklemore","GEMINI","My playlist :)","Playlist","QZ8TY1700016","2Za1AlJNvksouPPWbXpR2X"
"Uptown Funk (feat. Bruno Mars)","Mark Ronson","Uptown Special","My playlist :)","Playlist","GBARL1401524","32OlwWuMpZ6b0aN2RZOeMS"
"Grenade","Bruno Mars","Doo-Wops & Hooligans","My playlist :)","Playlist","USAT21001883","2tJulUYLDKOg9XrtVkMgcJ"
"Sunshine","OneRepublic","Artificial Paradise (Deluxe)","My playlist :)","Playlist","USUM72100506","7qKIbKpRqsDoXG5vMK6fuT"
"The Other Side","Hugh Jackman","The Greatest Showman (Original Motion Picture Soundtrack)","My playlist :)","Playlist","USAT21704620","2cKovq3l6OJjhVVDbVKOsr"
"Bang!","AJR","OK ORCHESTRA","My playlist :)","Playlist","QMRSZ2000128","4SQLQfcR0vhyIN4uPBlc0d"
"Hold Back The River","James Bay","Chaos And The Calm (Deluxe Edition)","My playlist :)","Playlist","USUM71413733","63lNvqjdrYxusz43JnORbE"
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","Justin Timberlake","TROLLS (Original Motion Picture Soundtrack)","My playlist :)","Playlist","USRC11600876","1WkMMavIMc4JZ8cfMmxHkI"
"Come Alive","Hugh Jackman","The Greatest Showman (Original Motion Picture Soundtrack)","My playlist :)","Playlist","USAT21704619","5xNUR50KxswPRAvx7S163g"
"It's Time","Imagine Dragons","Night Visions","My playlist :)","Playlist","USUM71200987","6BtmXhTJMM9sBTHeYYASGz"
"Follow You","Imagine Dragons","Mercury - Acts 1 & 2","My playlist :)","Playlist","USUM72102981","0LtkAAEpEp1lkLX1ZvjHZb"
"I Like Me Better","LAUV","I met you when I was 18. (the playlist)","My playlist :)","Playlist","GBWWP1702907","4MagTPnkPiDuIa4P8GtW1b"
"Friend Like Me","Will Smith","Aladdin (Original Motion Picture Soundtrack)","My playlist :)","Playlist","USWD11993109","5f2TWu6R2YYCJtLQ0fP78H"
"I Ain't Worried","OneRepublic","Artificial Paradise (Deluxe)","My playlist :)","Playlist","USUM72206227","0oF9jpn0n8afMpbHKgRd6J"
"If the World Was Ending (feat. Julia Michaels)","JP Saxe","If the World Was Ending (feat. Julia Michaels)","My playlist :)","Playlist","USQX91902708","2kJwzbxV2ppxnQoYw4GLBZ"
"I Knew You Were Trouble.","Taylor Swift","Red (Big Machine Radio Release Special)","My playlist :)","Playlist","USCJY1231039","6FB3v4YcR57y4tXFcdxI1E"
"I Lived","OneRepublic","Native","My playlist :)","Playlist","USUM71301307","3IQF4xCQUPicbA4hWfTxPo"
"Count on Me","Bruno Mars","Doo-Wops & Hooligans","My playlist :)","Playlist","USEE11000168","7l1qvxWjxcKpB9PCtBuTbU"
"Roar","Katy Perry","PRISM","My playlist :)","Playlist","USUM71308669","27tNWlhdAryQY04Gb2ZhUI"
"Wrecking Ball","Miley Cyrus","Bangerz (Deluxe Version)","My playlist :)","Playlist","USRC11301214","2vwlzO0Qp8kfEtzTsCXfyE"
"Bad Day","Daniel Powter","Daniel Powter","My playlist :)","Playlist","USWB10401971","0mUyMawtxj1CJ76kn9gIZK"
"Superheroes","The Script","No Sound Without Silence","My playlist :)","Playlist","GBARL1400978","37sINbJZcFdHFAsVNsPq1i"
"Belong Together","Mark Ambor","Rockwood","My playlist :)","Playlist","QM24S2400638","0rtDE9zfXbamTlRUSwY7zy"
"Troublemaker (feat. Flo Rida)","Olly Murs","Right Place Right Time (Expanded Edition)","My playlist :)","Playlist","GBARL1201891","6s8nHXTJVqFjXE4yVZPDHR"
"Watching You","Rodney Atkins","If You're Going Through Hell","My playlist :)","Playlist","USCRB0606873","5OusUgzHz6Ulb3GZT7WUo5"
"Bad Habits","Ed Sheeran","=","My playlist :)","Playlist","GBAHS2100318","3rmo8F54jFF8OgYsqTxm5d"
"Carry You Home","Alex Warren","You'll Be Alright, Kid (Chapter 1)","My playlist :)","Playlist","USAT22403017","5o0osRx8kYJTOqlOSggr9Z"
"You & I","One Direction","Midnight Memories (Deluxe)","My playlist :)","Playlist","GBHMU1300213","2afCBiru10AFckfOa49wIa"
"Sharks","Imagine Dragons","Mercury - Acts 1 & 2","My playlist :)","Playlist","USUM72205464","7sA2SKTo1QbTSSYn5YvJC4"
"If I Can't Have You","Shawn Mendes","Shawn Mendes (Deluxe)","My playlist :)","Playlist","USUM71907349","2bT1PH7Cw3J9p3t7nlXCdh"
"like my father","Jax","Dear Joe,","My playlist :)","Playlist","USAT22102090","5P2hOh1JDApqKHOSF0kF5Q"
"That’s Not How This Works (feat. Dan + Shay)","Charlie Puth","That’s Not How This Works (feat. Dan + Shay)","My playlist :)","Playlist","USAT22300816","28a0aMV1OKoyNiCJuNsWrY"
"Bam Bam (feat. Ed Sheeran)","Camila Cabello","Familia","My playlist :)","Playlist","USSM12200047","3lDSWvR0FXWGXo7mhDUs3v"
"Photograph","Ed Sheeran","x (Wembley Edition)","My playlist :)","Playlist","GBAHS1400094","6fxVffaTuwjgEk5h9QyRjy"
"A Bar Song (Tipsy)","Shaboozey","Where I've Been, Isn't Where I'm Going","My playlist :)","Playlist","USUYG1541249","5fZJQrFKWQLb7FpJXZ1g7K"
"Apologize","OneRepublic","Dreaming Out Loud","My playlist :)","Playlist","USUM70757102","1NrJYpdAi7uosDRPmSYrsG"
"Stressed Out","Twenty One Pilots","Blurryface","My playlist :)","Playlist","USAT21500597","3CRDbSIZ4r5MsZ0YwxuEkn"
"When You're Gone","Shawn Mendes","When You're Gone","My playlist :)","Playlist","USUM72204098","0U1W2LZVUX7qTm7dDpqxh6"
"Monster","Imagine Dragons","Smoke + Mirrors (Deluxe)","My playlist :)","Playlist","USUM71311709","2Xaw1RrXP3mdooKWysuRJ8"
"Stay With Me","Sam Smith","In The Lonely Hour","My playlist :)","Playlist","GBUM71308833","5Nm9ERjJZ5oyfXZTECKmRt"
"Memories","Maroon 5","JORDI (Deluxe)","My playlist :)","Playlist","USUM71913350","4cktbXiXOapiLBMprHFErI"
"Highway to Hell","AC/DC","Highway to Hell","My playlist :)","Playlist","AUAP07900028","2zYzyRzz6pRmhPzyfMEC8s"
"Only Human","Jonas Brothers","Happiness Begins","My playlist :)","Playlist","USUG11901281","0DiDStADDVh3SvAsoJAFMk"
"Dream","Imagine Dragons","Smoke + Mirrors","My playlist :)","Playlist","USUM71417935","25DpvTS4zsmLiVLx8Zv3N0"
"Imagination","Shawn Mendes","Handwritten (Deluxe)","My playlist :)","Playlist","USUM71500655","21TcDbGosp7w9YhTjOszgA"
"Celestial","Ed Sheeran","Celestial","My playlist :)","Playlist","GBAHS2201129","4zrKN5Sv8JS5mqnbVcsul7"
"Counting Stars - 2023 Version","OneRepublic","Counting Stars (2023 Version)","My playlist :)","Playlist","USUM72312720","5WUSD3xrn6lDBkYKNoC5V4"
"7 Years","Lukas Graham","Lukas Graham","My playlist :)","Playlist","USWB11506516","5kqIPrATaCc2LqxVWzQGbk"
"Run - Collins Remix","OneRepublic","Run (Collins Remix)","My playlist :)","Playlist","USUM72113686","1TGWNtFzNZsNeqT6oBvXtw"
"Devil Doesn’t Bargain","Alec Benjamin","(Un)Commentary","My playlist :)","Playlist","USAT22200712","1zu2GKHPJIsUu80SUJX4H4"
